nom_entreprise,domaine_activite,date_creation,forme_juridique,ville_siege,effectif,annee_effectif,capital,sites_internet,chiffre_affaires,resultat,annee_finances
ACASI,Édition,2017-10-12,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,2321.86,,,,
OALIA,Édition,2000-10-02,SA à conseil d'administration (s.a.i.),SURESNES,Entre 20 et 49 salariés,2022,106716,oalia.com,,602253,2023
ISI-COM,Édition,1994-12-31,"SASU, société par actions simplifiée unipersonnelle",PERPIGNAN,Entre 20 et 49 salariés,2022,40000,isi-com.com,,1047858,2024
VIAVOO,Édition,2009-02-02,SA à conseil d'administration (s.a.i.),BOULOGNE-BILLANCOURT,Entre 10 et 19 salariés,2022,101715.4,viavoo.com,,99003,2023
TECHNIC SOFT,Édition,1986-07-01,"SAS, société par actions simplifiée",TOULOUSE,Entre 10 et 19 salariés,2022,152449.02,technic-soft.fr,,131068,2024
YIELOO,Édition,2001-05-23,"SARL, société à responsabilité limitée",SAINT-GREGOIRE,Entre 20 et 49 salariés,2022,20550,intraknow.com,,99460,2021
HAWK EYE INNOVATION LTD,Édition,2021-04-01,Société commerciale étrangère immatriculée au RCS,KT13 SURREY,Entre 20 et 49 salariés,2022,700201,,,,
CONSCIENCE ROBOTICS,Édition,2017-11-03,"SAS, société par actions simplifiée",HEROUVILLE-SAINT-CLAIR,Entre 10 et 19 salariés,2022,536317,"conscience-robotics.com, watercloud.fr",,-446040,2024
DXM PROFUSE,Édition,2009-12-01,"SAS, société par actions simplifiée",CESSON-SEVIGNE,Entre 10 et 19 salariés,2022,100000,dxmprofuse.com,3919885,734347,2017
ECLYPIA,Édition,2021-04-20,"SAS, société par actions simplifiée",GRENOBLE,Entre 10 et 19 salariés,2022,4510000,eclypia.com,0,-10516619,2022
PER ANGUSTA,Édition,2012-08-22,"SASU, société par actions simplifiée unipersonnelle",VILLEURBANNE,Entre 20 et 49 salariés,2022,86754,"perangusta.net, spendhq.com",6138278,325921,2024
NETRESTO,Édition,2022-02-09,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 10 et 19 salariés,2022,2301000,mycawan.fr,,,
PREDILIFE,Édition,2004-04-05,SA à conseil d'administration (s.a.i.),VILLEJUIF,Entre 20 et 49 salariés,2022,73775.33,"stat.life, predilife.com",51570,-2220577,2020
GLOBAL STIM,Édition,2014-10-06,"SASU, société par actions simplifiée unipersonnelle",MEYREUIL,Entre 10 et 19 salariés,2022,47080,exostim.com,22103,-109692,2017
SPECTRAL TRANSACTIVE MEMORY SYSTEMS,Édition,2018-02-12,"SAS, société par actions simplifiée",EVRY-COURCOURONNES,Entre 10 et 19 salariés,2022,66493,spectraltms.com,,-481273,2020
INAGUA,Édition,2012-06-01,"SAS, société par actions simplifiée",JUVISY-SUR-ORGE,Entre 10 et 19 salariés,2022,49228,damaaas.com,,518803,2024
IRAISER GROUP,Édition,2012-01-09,"SAS, société par actions simplifiée",SAINT-SEBASTIEN-SUR-LOIRE,Entre 20 et 49 salariés,2022,22979,"soutenir.fondsdedotation-chru-tours.fr, soutenir.fondationaphp.fr",2458271,-745028,2018
EVOLIZ,Édition,2010-05-15,"SAS, société par actions simplifiée",LA GARDE,Entre 20 et 49 salariés,2022,192480,"evoliz.com, btp.evoliz.com",,-942726,2024
ISICONCEPT INFORMATIQUE,Édition,2004-10-01,"SARL, société à responsabilité limitée",CHATILLON-LE-DUC,Entre 10 et 19 salariés,2022,100000,isiconcept.fr,3091909,200139,2024
ALL SYSTEMS,Édition,1991-11-04,"SAS, société par actions simplifiée",SEYSSINET-PARISET,Entre 20 et 49 salariés,2022,166700,"logiciel-miao.fr, allsystems.fr",,481935,2023
MY REM DIGITAL,Édition,2013-08-31,"SAS, société par actions simplifiée",MONTMORENCY,Entre 10 et 19 salariés,2022,11000,,,136434,2020
SAFEWARE,Édition,1992-11-01,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 10 et 19 salariés,2022,152847,safeware.fr,,-51909,2019
YOUBOOX,Édition,2011-07-22,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 20 et 49 salariés,2022,750276.5,"youboox.fr, nextory.com, youboox.pro",,-515874,2018
QUICK MS,Édition,2018-02-23,"SAS, société par actions simplifiée",MARSEILLE,Entre 20 et 49 salariés,2022,439045,quickms.fr,1718133,-1177431,2023
PICKYOURSKILLS,Édition,2018-02-01,"SAS, société par actions simplifiée",VINCENNES,Entre 20 et 49 salariés,2022,20683.53,"napta.io, pickyourskills.com",,-1730509,2023
AROBAS MUSIC,Édition,2002-12-01,"SARL, société à responsabilité limitée",LILLE,Entre 10 et 19 salariés,2022,230000,guitar-pro.com,,553767,2024
COZY CLOUD,Édition,2012-11-01,"SAS, société par actions simplifiée",SURESNES,Entre 20 et 49 salariés,2022,68568,cozy.io,,103586,2022
AIRSHIP FRANCE,Édition,2011-12-01,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 20 et 49 salariés,2022,1363490,,,,
ADESOFT,Édition,2010-12-31,"SAS, société par actions simplifiée",PARIS 11,Entre 20 et 49 salariés,2022,250000,adesoft.fr,1565182,74192,2018
KAMAEL,Édition,2019-12-11,"SAS, société par actions simplifiée",TOURS,Entre 10 et 19 salariés,2022,60000,"kamael.com, kamael.fr",,33056,2024
WAVESOFT,Édition,2003-10-01,"SAS, société par actions simplifiée",ORSAY,Entre 10 et 19 salariés,2022,85000,wavesoft.fr,,539311,2022
WIN-GROUP SOFTWARE,Édition,1995-06-01,"SAS, société par actions simplifiée",LA CIOTAT,Entre 10 et 19 salariés,2022,90258.65,"winmedia.org, sedis-system.fr",2354465,-209459,2022
TIMESKIPPER,Édition,2011-06-06,"SAS, société par actions simplifiée",RUEIL-MALMAISON,Entre 10 et 19 salariés,2022,11373,timeskipper.co,,-330760,2022
EXTRABAT FRANCE SAS,Édition,2007-12-01,"SAS, société par actions simplifiée",ANGOULEME,Entre 20 et 49 salariés,2022,90546.5,"extrabat.com, extrabat.fr, tanguy-moya-moya.org",4509396,561338,2024
CAP 4 LAB SARL,Édition,2020-04-20,Société commerciale étrangère immatriculée au RCS,,Entre 20 et 49 salariés,2022,,cap4lab.com,,,
MEDALLIA FRANCE SARL,Édition,2014-10-01,"SARL, société à responsabilité limitée",PUTEAUX,Entre 20 et 49 salariés,2022,1,,3459955,128040,2025
DEEPLIFE,Édition,2019-07-14,"SAS, société par actions simplifiée",VERNON,Entre 10 et 19 salariés,2022,161.15,deeplife.co,,218493,2023
EDITIONS MODELO,Édition,2005-02-01,"SAS, société par actions simplifiée",BORDEAUX,Entre 10 et 19 salariés,2022,10000,"academie.modelo.fr, modelo.fr",11111580,3247166,2024
HENLEY IT,Édition,2008-05-16,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,20720,henley.fr,,11094,2018
NETWORTH,Édition,2000-05-10,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,151592.74,,,454952,2021
OPTIONS INFORMATIQUE,Édition,1989-03-01,"SARL, société à responsabilité limitée",MUREAUX (LES),Entre 10 et 19 salariés,2022,50000,"abclocation.com, options.net",,,
IZI-PASS,Édition,2007-09-01,"SASU, société par actions simplifiée unipersonnelle",LYON,Entre 10 et 19 salariés,2022,13000,izipass.pro,,103488,2022
NIVAC,Édition,2004-04-15,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 10 et 19 salariés,2022,157500,nivac.com,2517411,253460,2024
EFICAD,Édition,1989-07-01,"SAS, société par actions simplifiée",LA GRANDE-MOTTE,Entre 20 et 49 salariés,2022,7622.45,eficad.com,,575659,2023
"CONSEIL, ETUDES, TRAITEMENT, REALISATION, ASSISTANCE EN INFORMATIQUE",Édition,1980-07-01,"SAS, société par actions simplifiée",MAMIROLLE,Entre 10 et 19 salariés,2022,400000,,1504016,52050,2017
CODIX COMPAGNIE DE DISTRIBUTION INFORMATIQUE,Édition,1993-09-22,SA à conseil d'administration (s.a.i.),VALBONNE,Entre 20 et 49 salariés,2022,1221953.21,"codix.us, codix.eu",36027710,1218597,2023
COMPUSOFT FRANCE,Édition,1995-03-06,"SARL, société à responsabilité limitée",LUNEVILLE,Entre 20 et 49 salariés,2022,175000,compusoftgroup.com,15665214,514119,2022
TMIC TOULOUSE MICRO INFORMATIQUE CONSEIL ELLIPSES-T.M.I.C.ELLIPSES,Édition,1983-04-01,"SAS, société par actions simplifiée",RAMONVILLE-SAINT-AGNE,Entre 10 et 19 salariés,2022,37000,"lamouetterieuseparis.com, tmic-ellipses.com",1536891,1416,2023
ULTRA EUROPE,Édition,2018-08-03,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 20 et 49 salariés,2022,50000,,2460627,264591,2022
OWNEST,Édition,2017-11-30,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,53036,ownest.io,,-516397,2021
VERYSWING,Édition,2012-02-01,"SAS, société par actions simplifiée",VERSAILLES,Entre 20 et 49 salariés,2022,200000,veryswing.com,,790983,2024
CAP ADRESSE,Édition,2007-10-01,"SASU, société par actions simplifiée unipersonnelle",ENGHIEN-LES-BAINS,Entre 20 et 49 salariés,2022,100000,capency.com,6741504,1807661,2021
NORMAND INFO,Édition,2010-12-08,"SAS, société par actions simplifiée",ARRAS,Entre 20 et 49 salariés,2022,17500001,normand-info.fr,13460851,7909705,2024
EXPERT SYSTEM FRANCE,Édition,2000-05-30,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,100000,"clio-carto.clionautes.org, expert.ai",1031087,316934,2024
ULIT,Édition,2015-07-29,"SAS, société par actions simplifiée",LE PORT-MARLY,Entre 10 et 19 salariés,2022,10000,usersloveit.com,1121985,50035,2020
TRAEFIK LABS,Édition,2016-02-16,"SAS, société par actions simplifiée",LYON,Entre 20 et 49 salariés,2022,309.98,traefik.io,1753249,-2874965,2023
TRINOV,Édition,2007-06-18,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,209730.51,"trinov.com, trinov.eu",2768823,119235,2023
