nom_entreprise,domaine_activite,date_creation,forme_juridique,ville_siege,effectif,annee_effectif,capital,sites_internet,chiffre_affaires,resultat,annee_finances
NERYS SAS,Édition,2007-01-29,"SAS, société par actions simplifiée",GARDANNE,Entre 10 et 19 salariés,2022,100000,,,152917,2024
LITHIUM MEDIA,Édition,2016-08-31,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,246205,kosmik.app,,-496581,2023
CORNERSTONE ONDEMAND FRANCE SARL,Édition,2007-02-01,"SARL, société à responsabilité limitée",PARIS,Entre 20 et 49 salariés,2022,984894,,41392830,1032676,2024
LIMTREE,Édition,2004-02-02,"SARL, société à responsabilité limitée",PARIS,Entre 20 et 49 salariés,2022,100000,,,,
TELAMON,Édition,1994-10-01,"SAS, société par actions simplifiée",LYON,Entre 20 et 49 salariés,2022,91656,"iaxx.fr, telamon.fr, bart-f.fr",5790550,950039,2024
P2B SOLUTIONS,Édition,2015-06-15,"SARL, société à responsabilité limitée",MEYLAN,Entre 10 et 19 salariés,2022,180000,winvoice.fr,3029174,704881,2022
ZEPHIR,Édition,2014-11-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,129120,,,,
AFFLUENCES,Édition,2014-09-01,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,8667,"pro.affluences.com, affluences.com",,,
BEEKAST,Édition,2015-02-12,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2023,2696.86,beekast.com,,-778323,2018
MESSAGES COMMUNICATION CONSEIL,Édition,1990-01-01,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,338019,mydiapason.com,16268755,2333715,2025
TENNAXIA,Édition,2001-03-27,"SASU, société par actions simplifiée unipersonnelle",CHANGE,Entre 20 et 49 salariés,2022,73370.75,"rse-reporting.fr, tennaxia.com, hse-reglementaire.fr",,2586724,2023
HIIT HUMAN INNOVATION INSIDE TECHNOLOGY,Édition,2017-10-13,"SAS, société par actions simplifiée",LYON,Entre 20 et 49 salariés,2022,45000,,,143022,2024
ICEB SAS,Édition,1988-06-13,"SAS, société par actions simplifiée",CHATOU,Entre 20 et 49 salariés,2022,100000,iceb.com,2449939,114665,2024
LINKFLUENCE,Édition,2006-09-13,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,9324410,,1375580,-4673214,2022
APPLIDEV',Édition,2010-09-02,"SARL, société à responsabilité limitée",ARNAGE,Entre 10 et 19 salariés,2022,10000,"applidev.fr, myddmrp.fr",877072,55015,2024
FRELLO SAS,Édition,2017-03-29,"SAS, société par actions simplifiée",MONT-SAINT-AIGNAN,Entre 10 et 19 salariés,2022,157191.6,frello.fr,,-139346,2022
FABRIQ,Édition,2019-06-21,"SAS, société par actions simplifiée",BOULOGNE-BILLANCOURT,Entre 20 et 49 salariés,2022,38102.46,fabriq.tech,,-905348,2022
SAQARA,Édition,2017-06-23,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,189140.21,"core.saqara.com, saqara.com",,-1836317,2024
BEWEASE,Édition,2015-04-22,"SAS, société par actions simplifiée",PESSAC,Entre 10 et 19 salariés,2022,40500,bewease.fr,,99567,2022
THERAPIXEL,Édition,2013-06-17,SA à conseil d'administration (s.a.i.),NICE,Entre 20 et 49 salariés,2022,624031.7,"therapixel.com, therapixel.fr",,-3571411,2024
NEWSBRIDGE,Édition,2015-12-23,"SAS, société par actions simplifiée",BOULOGNE-BILLANCOURT,Entre 20 et 49 salariés,2022,233447,newsbridge.io,,-5541055,2024
OPTI-MIX SOFTWARE SAS,Édition,2011-04-19,"SAS, société par actions simplifiée",MARCQ-EN-BARŒUL,Entre 20 et 49 salariés,2022,900000,"optimix.fr, optimix-software.com",4004917,1217525,2023
BIMEDOC,Édition,2018-11-16,"SAS, société par actions simplifiée",LYON,Entre 10 et 19 salariés,2022,2163.1,bimedoc.com,,-329452,2023
SISTEC,Édition,1996-01-29,"SASU, société par actions simplifiée unipersonnelle",SAINT-MARTIN-SUR-LE-PRE,Entre 10 et 19 salariés,2022,20000,sistec.fr,1392426,82972,2024
D.A.R.Y.L.,Édition,2001-09-01,"SAS, société par actions simplifiée",ANNECY,Entre 20 et 49 salariés,2022,24070,"152375.horoscope-voyance.com, log2pay.fr, psecure.fr, bizpay.fr, lachamille.fr",18646605,2832908,2017
ABBYY FRANCE,Édition,2014-07-11,"EURL, entreprise unipersonnelle à responsabilité limitée",PARIS,Entre 10 et 19 salariés,2022,25000,abbyy.com,2677778,109891,2023
EVIIVO FRANCE,Édition,2012-02-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,29260,,1430710,68129,2024
CLOUDIWAY,Édition,2010-10-23,"SASU, société par actions simplifiée unipersonnelle",EPAGNY METZ-TESSY,Entre 10 et 19 salariés,2022,100000,,,218125,2023
UBIQUE,Édition,2010-01-01,"SAS, société par actions simplifiée",NANTERRE,Entre 20 et 49 salariés,2022,1295527.2,"itaque.com, groupeubique.com",,228434,2024
LS TELCOM SAS,Édition,2006-10-01,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 10 et 19 salariés,2022,100000,lstelcom.fr,5897779,-1734,2024
SMART PROSPECTIVE,Édition,2016-05-01,"SAS, société par actions simplifiée",BORDEAUX,Entre 10 et 19 salariés,2022,16000,,,88350,2023
EVS FRANCE,Édition,2003-07-30,"SASU, société par actions simplifiée unipersonnelle",TOULOUSE,Entre 10 et 19 salariés,2022,33500,,5968050,592946,2024
ATYS ANALYS INFORMATIQUE,Édition,1993-10-01,"SARL, société à responsabilité limitée",MENNECY,Entre 10 et 19 salariés,2022,250500,"analys-informatique.com, analys-informatique.fr",1813114,217239,2024
INTERNATIONAL CONSULTANT,Édition,1985-01-01,"SAS, société par actions simplifiée",LA PENNE-SUR-HUVEAUNE,Entre 10 et 19 salariés,2022,57010.77,interconsult.fr,,415338,2024
CRYPTIO,Édition,2018-04-20,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 10 et 19 salariés,2022,30518.4,cryptio.co,,-3001249,2024
GLOBALIA,Édition,2014-05-05,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 20 et 49 salariés,2022,21212778,wemoms.fr,1907262,188112,2020
AXSMARINE,Édition,2000-05-23,"SASU, société par actions simplifiée unipersonnelle",COURBEVOIE,Entre 10 et 19 salariés,2022,1879076.76,public.axsmarine.com,17048929,-2026501,2024
SPARTED,Édition,2014-07-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,602.76,sparted.com,,5735,2024
ASTRAN,Édition,2021-04-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,385874,"astrachain.com, astran.io",,,
INHEART,Édition,2017-07-01,"SAS, société par actions simplifiée",PESSAC,Entre 20 et 49 salariés,2022,380622.9,inheartmedical.com,,,
THEIA,Édition,2007-11-26,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,106386,,1884088,468407,2023
TERACTYS,Édition,2015-05-15,"SAS, société par actions simplifiée",NANTES,Entre 10 et 19 salariés,2022,13610,teractys.com,,290455,2023
FINZZLE DIGITAL,Édition,2012-10-05,"SAS, société par actions simplifiée",TOULOUSE,Entre 10 et 19 salariés,2022,10570,"slowsense.com, slowsense.fr, visit.digital",3084259,289942,2024
LOCALNOVA,Édition,2011-11-19,"SAS, société par actions simplifiée",MONTPELLIER,Entre 10 et 19 salariés,2022,32700,"localclimat.fr, localrural.fr",,153245,2024
HIBOO SYSTEMS SAS,Édition,2017-03-16,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,90269.4,,,-2104579,2023
AGILITATION,Édition,2016-08-05,"SAS, société par actions simplifiée",MONTPELLIER,Entre 20 et 49 salariés,2023,88789,flvphotographie.fr,,-1348800,2022
A.S.T.I.,Édition,1995-06-09,"SASU, société par actions simplifiée unipersonnelle",ROANNE,Entre 10 et 19 salariés,2023,24480,"asti-net.com, asti-net.eu",,30478,2023
ALLONIA,Édition,2012-10-11,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,117013,,,,
TUTELLE AU QUOTIDIEN,Édition,2008-07-01,"SAS, société par actions simplifiée",COURBEVOIE,Entre 20 et 49 salariés,2022,155000,tutelleauquotidien.fr,3410297,309972,2023
LISTO,Édition,2016-12-22,"SASU, société par actions simplifiée unipersonnelle",LATTES,Entre 20 et 49 salariés,2022,116970.48,listopaye.fr,359613,-1534790,2024
EVALUTEL,Édition,1985-07-01,"SAS, société par actions simplifiée",MAISONS-ALFORT,Entre 10 et 19 salariés,2022,749700,evalutel.fr,,178674,2023
ALEIA SAS,Édition,2021-04-01,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 20 et 49 salariés,2022,10000,allonia.com,,,
KOLIBREE,Édition,2014-01-07,"SAS, société par actions simplifiée",NEUILLY-SUR-SEINE,Entre 20 et 49 salariés,2022,93446,kolibree.com,420272,289995,2024
GRAPHISOFT FRANCE,Édition,1985-10-01,"SAS, société par actions simplifiée",PUTEAUX,Entre 20 et 49 salariés,2022,53220,"challengesportindoor.com, graphisoft.com, graphisoft.co.jp",14992126,1228207,2024
TELEMEDICINE TECHNOLOGIES,Édition,2000-03-15,"SAS, société par actions simplifiée",BOULOGNE-BILLANCOURT,Entre 20 et 49 salariés,2022,2137835,tentelemed.com,,-141180,2024
ATTIC +,Édition,2001-01-01,"SAS, société par actions simplifiée",BOULOGNE-BILLANCOURT,Entre 10 et 19 salariés,2022,140000,attic-plus.fr,2815674,663763,2024
TRANSACTION CONNECT,Édition,2016-09-08,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,50489.47,"clochedor-shopping.lu, transactionconnect.com",,-654039,2023
O MAILEY,Édition,2009-11-01,"SASU, société par actions simplifiée unipersonnelle",CRESPIERES,Entre 10 et 19 salariés,2022,23259,,1283029,235907,2023
SERENEO,Édition,2001-12-01,"SAS, société par actions simplifiée",MEUDON,Entre 10 et 19 salariés,2022,121120,"webtest.sereneo.com, sereneo.fr",,14652,2023
ACCUEILPRO 54,Édition,2015-10-01,"SASU, société par actions simplifiée unipersonnelle",SAINT-DIE-DES-VOSGES,Entre 10 et 19 salariés,2022,15000,,,36283,2024
BOB EL WEB,Édition,2006-11-01,"SAS, société par actions simplifiée",BORDEAUX,Entre 10 et 19 salariés,2022,178050,bobelweb.eu,,7071,2021
GO2CAM INTERNATIONAL,Édition,2009-10-01,"SAS, société par actions simplifiée",LYON,Entre 20 et 49 salariés,2022,365000,,,350539,2024
IMAGINA INTERNATIONAL,Édition,2003-08-01,"SAS, société par actions simplifiée",MEYLAN,Entre 10 et 19 salariés,2022,276000,imagina-international.com,,296272,2024
SAS COGNITIVE DESIGN SYSTEMS,Édition,2021-03-10,"SAS, société par actions simplifiée",TOULOUSE,Entre 10 et 19 salariés,2022,12501,cognitive-design-systems.com,,-302714,2024
CINTOO,Édition,2013-07-09,"SAS, société par actions simplifiée",BIOT,Entre 20 et 49 salariés,2022,146558.8,cintoo.com,,-1932983,2024
SYMTRAX SA,Édition,1989-09-20,SA à conseil d'administration (s.a.i.),NIMES,Entre 20 et 49 salariés,2022,279000,,3936308,125934,2024
OASIS PROJET,Édition,2003-10-16,"SAS, société par actions simplifiée",SAINT-ETIENNE-DU-ROUVRAY,Entre 20 et 49 salariés,2022,500000,"webetsolutions.com, oasis-geoloc.fr, payneo.fr, setin-webetsolutions.fr, commeunroi.com",,,
SECKIOT,Édition,2020-12-18,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,1000,seckiot.fr,247164,-3144563,2024
ARPEJE,Édition,2020-01-22,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,25000,arpeje.fr,,230025,2023
BLG,Édition,2009-06-11,"SAS, société par actions simplifiée",COMPIEGNE,Entre 20 et 49 salariés,2022,126534.5,blgcloud.fr,,174838,2024
VMPS CORPORATION,Édition,2015-02-18,"SAS, société par actions simplifiée",PAU,Entre 20 et 49 salariés,2022,54310.5,"verdinum.com, greendigitalskills.com, cogibou.com, greendigitalskills.fr, pieber.fr",,216123,2024
IDAKTO,Édition,2019-05-07,"SAS, société par actions simplifiée",GUYANCOURT,Entre 20 et 49 salariés,2023,120000,"idakto.com, idakto.fr",1588943,999536,2020
PLANETE PERMIS,Édition,2011-01-01,"SAS, société par actions simplifiée",GOXWILLER,Entre 20 et 49 salariés,2022,650000,planetepermis.com,3912809,304461,2022
DIGITAL PROCESS TOOLS,Édition,2019-03-21,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,15621.7,digitalprocesstools.com,,,
OPPER SUBSCRIPTION,Édition,1988-03-01,"SAS, société par actions simplifiée",ISSY-LES-MOULINEAUX,Entre 10 et 19 salariés,2022,36000,routage-en-ligne.fr,,421222,2024
ALEPH-NETWORKS,Édition,2012-02-09,"SAS, société par actions simplifiée",POMMIERS,Entre 10 et 19 salariés,2022,118652,"aleph-networks.fr, aleph-networks.com",,36478,2024
NOVATICE TECHNOLOGIES,Édition,2004-12-30,"SAS, société par actions simplifiée",PAVILLY,Entre 20 et 49 salariés,2022,76830,novatice.com,1403999,248254,2024
WEBMECANIK,Édition,2006-03-06,"SAS, société par actions simplifiée",ARGONAY,Entre 20 et 49 salariés,2022,36444.5,webmecanik.com,2278078,109973,2024
ALLSHARE,Édition,1991-04-16,SA à conseil d'administration (s.a.i.),GUYANCOURT,Entre 10 et 19 salariés,2022,37322.3,allshare.fr,,2301386,2024
I-VIRTUAL,Édition,2014-09-11,"SAS, société par actions simplifiée",METZ,Entre 10 et 19 salariés,2022,41901.3,i-virtual.fr,,-960535,2024
EIDOSMEDIA,Édition,2005-05-01,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 10 et 19 salariés,2022,40000,eidosmedia.com,5563267,172942,2024
VISTORY,Édition,2015-01-21,"SAS, société par actions simplifiée",VELIZY-VILLACOUBLAY,Entre 20 et 49 salariés,2022,150000,vistory.com,2232211,819222,2022
WALTIO,Édition,2018-10-01,"SAS, société par actions simplifiée",CLERMONT-FERRAND,Entre 10 et 19 salariés,2022,20721.18,"waltio.co, waltio.com",,-335986,2023
XY VERTICAL,Édition,2017-10-11,"SAS, société par actions simplifiée",AIX-EN-PROVENCE,Entre 10 et 19 salariés,2022,60000,verticalexpense.com,,,
MEDIFIRST,Édition,2002-07-01,"SARL, société à responsabilité limitée",MONTIGNY-LE-BRETONNEUX,Entre 20 et 49 salariés,2022,18100,medifirst.fr,2240555,372861,2024
FINELOG-BISEUM,Édition,2004-01-05,"SAS, société par actions simplifiée",ISSY-LES-MOULINEAUX,Entre 20 et 49 salariés,2023,100000,finelog-biseum.com,3510229,279931,2023
AGILITEST,Édition,2017-07-17,"SAS, société par actions simplifiée",BIGUGLIA,Entre 10 et 19 salariés,2022,14653,fr.agilitest.com,582129,-72455,2023
ARAGO,Édition,2010-02-18,"SASU, société par actions simplifiée unipersonnelle",LEVALLOIS-PERRET,Entre 20 et 49 salariés,2022,3000000,"arago.com, mediakeys.io",,-1001065,2023
SHINING,Édition,2003-12-17,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2023,100700,"fabiolavoyance.com, idvoyanceamour.fr, voyant-lille.fr, voyant-marseille.fr, voyant-bordeaux.fr",3218874,-176556,2023
CPA GLOBAL SOFTWARE SOLUTIONS,Édition,1984-06-04,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,153000,,10951578,730954,2024
SANCARE,Édition,2016-08-30,"SAS, société par actions simplifiée",ORSAY,Entre 20 et 49 salariés,2022,33910,,,-925503,2023
WISH,Édition,2009-12-01,"SAS, société par actions simplifiée",BREST,Entre 20 et 49 salariés,2022,78686.25,"boondmanager.com, support.boondmanager.com",7575054,727959,2023
ISOFT,Édition,1990-10-01,"SAS, société par actions simplifiée",SAINT-AUBIN,Entre 20 et 49 salariés,2023,1000000,"isoft-group.com, advanthink.com",,,
LEARNENJOY,Édition,2011-12-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,19536,,667568,-41336,2024
BACKUP SYSTEMS,Édition,2012-12-03,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,2250000,,,-13165,2019
MY EASY FARM,Édition,2017-11-07,"SAS, société par actions simplifiée",BEZANNES,Entre 10 et 19 salariés,2022,178125,myeasyfarm.com,,-426520,2024
DISPLAY INTERACTIVE,Édition,2007-02-01,"SAS, société par actions simplifiée",MONTROUGE,Entre 20 et 49 salariés,2022,174162,display.aero,,-1563459,2024
LOVEBOX.LOVE,Édition,2015-10-12,"SAS, société par actions simplifiée",GRENOBLE,Entre 20 et 49 salariés,2022,1266,"fr.lovebox.love, eu.lovebox.love, eu.happyloop.lovebox.love, lovebox.love",,-355494,2023
VEKIA SAS,Édition,2007-12-01,"SAS, société par actions simplifiée",LILLE,Entre 20 et 49 salariés,2022,400000,vekia.fr,,266839,2024
SAMP,Édition,2020-01-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,5643.48,samp.ai,,-1370580,2024
LSE LOGICIEL SERVICE ENTREPRISE,Édition,1984-01-01,"SAS, société par actions simplifiée",SAINT-MAUR-DES-FOSSES,Entre 20 et 49 salariés,2022,336000,"lse.fr, oia-solutions.com, blog.mounier-logiciels.fr, autosuvi.fr",3129582,228546,2023
LISY MARKET,Édition,2021-02-26,"SAS, société par actions simplifiée",LA CHAPELLE-SUR-ERDRE,Entre 10 et 19 salariés,2022,62500,lisy.co,,64590,2023
MAXXING,Édition,1991-04-12,"SASU, société par actions simplifiée unipersonnelle",MARCQ-EN-BARŒUL,Entre 20 et 49 salariés,2022,1000000,maxxing.com,5985258,681746,2024
ERDIL,Édition,2007-01-30,"SASU, société par actions simplifiée unipersonnelle",BESANCON,Entre 20 et 49 salariés,2022,200000,"esatis.fr, erdil.fr",,-294338,2024
THE APP LAB,Édition,2009-06-04,"SAS, société par actions simplifiée",BOULOGNE-BILLANCOURT,Entre 10 et 19 salariés,2022,9991.4,"touch-sell.com, the-app-lab.fr",,-120602,2023
FIFTY,Édition,2018-05-03,"SAS, société par actions simplifiée",SAINT-MANDE,Entre 20 et 49 salariés,2022,1882.6,fifty.do,,-1983425,2023
SAOOTI,Édition,2009-02-01,"SAS, société par actions simplifiée",LANNION,Entre 20 et 49 salariés,2022,206010,"saooti.com, octopus.saooti.com, demo.saooti.com",1855327,165876,2024
ARTIS,Édition,1990-06-15,"SAS, société par actions simplifiée",SAINT-SEBASTIEN-SUR-LOIRE,Entre 20 et 49 salariés,2022,63872,artis.fr,,2962401,2023
ALLEGRO DVT,Édition,2015-12-23,"SAS, société par actions simplifiée",MONTBONNOT-SAINT-MARTIN,Entre 20 et 49 salariés,2022,160434,allegrodvt.com,9466689,2868165,2024
LMP SAS,Édition,2012-10-24,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,7934,explain.fr,,,
NP6 SOLUTIONS,Édition,2009-03-25,"SASU, société par actions simplifiée unipersonnelle",BORDEAUX,Entre 20 et 49 salariés,2022,52534,fox-marketing.agency,9441000,3013000,2024
AZMED,Édition,2018-08-07,"SAS, société par actions simplifiée",LAVAL,Entre 20 et 49 salariés,2022,2316.55,azmed.co,,-679507,2022
PROLOGUE,Édition,1991-05-30,SA à conseil d'administration (s.a.i.),GENNEVILLIERS,Entre 10 et 19 salariés,2022,1005491.17,prologue.fr,1291000,-1306000,2024
PROTECHNOLOGIES SYSTEMS,Édition,1998-05-01,"SASU, société par actions simplifiée unipersonnelle",ANNECY,Entre 10 et 19 salariés,2022,296000,"moncontroletechnique.fr, protechnologies.fr, protechnologies.shop",,30331,2016
LALILO,Édition,2016-08-02,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,2069.7,lalilo.com,2509320,1243359,2024
KLASSROOM,Édition,2016-05-26,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,494923.2,,,,
OPPSCIENCE,Édition,2017-12-20,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,1471384,oppscience.com,3466418,-3860042,2024
MYNED CORPORATION,Édition,2018-02-05,"SAS, société par actions simplifiée",SAINT-GENIS-LAVAL,Entre 10 et 19 salariés,2022,35749,,621269,-139577,2024
INFOELSA,Édition,1988-05-25,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2023,259163,,3370063,533699,2019
BETTERWAY,Édition,2019-11-18,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,275407.8,"betterway.fr, gobetterway.fr",,-1002304,2024
DISPLAYCE,Édition,2014-10-15,"SAS, société par actions simplifiée",BORDEAUX,Entre 20 et 49 salariés,2022,91168,displayce.com,28152283,250481,2024
PROJECT44,Édition,2021-03-05,"SASU, société par actions simplifiée unipersonnelle",LYON,Entre 20 et 49 salariés,2022,1000,,,42013,2021
UTOCAT,Édition,2014-10-14,"SAS, société par actions simplifiée",LILLE,Entre 10 et 19 salariés,2022,17719.9,utocat.com,731991,-185510,2024
BRAINCHIP,Édition,1999-09-01,"SASU, société par actions simplifiée unipersonnelle",TOULOUSE,Entre 10 et 19 salariés,2022,1233504,brainchip.com,2281691,509280,2023
VOCAZA,Édition,1985-12-01,"SAS, société par actions simplifiée",GRENOBLE,Entre 20 et 49 salariés,2022,612620,"communication.eisnetwork.co, vocaza.com",,-468782,2024
PROTECTED,Édition,2019-06-19,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,33138,,,,
LA MOBILERY LILLE,Édition,2018-12-26,"SAS, société par actions simplifiée",WASQUEHAL,Entre 20 et 49 salariés,2022,315780,,3302068,25948,2024
ISOGRAD,Édition,2010-10-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,156034,"evaluation-acil.fr, isograd-testingservices.com",,-341997,2023
OPTEAMIS,Édition,2005-02-28,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,134698.44,opteamis.com,,,
EXTERNIS,Édition,2001-11-20,"SARL, société à responsabilité limitée",MONTREUIL,Entre 10 et 19 salariés,2022,550000,externis.net,,25186,2023
DIGITAL CONTENT EXPERT,Édition,2014-04-25,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,56497.5,,,-447172,2024
ESCAPE TECHNOLOGIES,Édition,2020-09-01,"SAS, société par actions simplifiée",BIARRITZ,Entre 10 et 19 salariés,2022,1473.7,escape.tech,,-553565,2024
C4W SA,Édition,1998-03-02,"SAS, société par actions simplifiée",MONTPELLIER,Entre 10 et 19 salariés,2022,73416,c4w.com,662346,-178013,2024
WIIISDOM FRANCE,Édition,2015-10-23,"SASU, société par actions simplifiée unipersonnelle",LILLE,Entre 20 et 49 salariés,2023,130000,,,-357336,2022
HEXALY,Édition,2007-06-29,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,155600,"hexaly.com, localsolver.com, localsolver.fr, innovation24.fr",3944539,-29451,2024
TELEOPHTALMO,Édition,2017-08-28,"SAS, société par actions simplifiée",BORDEAUX,Entre 20 et 49 salariés,2022,4718.1,"eyecontact.fr, teo-med.fr",142342,412627,2019
COTY APPS,Édition,2020-06-03,"SAS, société par actions simplifiée",FONTENAY-AUX-ROSES,Entre 10 et 19 salariés,2022,1720.03,"kovalee.fr, kovalee.app, cotyapps.com",,,
BEREAL,Édition,2020-01-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,164347.59,bereal.com,,-21074885,2022
EONA,Édition,2003-06-24,SA à conseil d'administration (s.a.i.),ANNECY,Entre 10 et 19 salariés,2022,978587.74,eona.com,,218505,2024
UPSIDEO,Édition,2011-12-19,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,23191,upsideo.fr,,-1830541,2022
EKTACOM,Édition,2000-11-17,"SAS, société par actions simplifiée",LES ULIS,Entre 10 et 19 salariés,2022,47124,"ektacom.net, ektacom.com, estendirect.net",798792,5186,2024
NEXIO TECHNOLOGIES,Édition,2005-07-13,"SASU, société par actions simplifiée unipersonnelle",TOULOUSE,Entre 20 et 49 salariés,2022,50000,,2119775,-244881,2023
KERLOG,Édition,2002-10-01,"SAS, société par actions simplifiée",LE PECQ,Entre 10 et 19 salariés,2022,188000,kerlog.com,,36437,2024
WIZARD,Édition,2020-04-15,"SAS, société par actions simplifiée",LYON,Entre 20 et 49 salariés,2022,20000,audiowizard.fr,,,
WWEEDDOO,Édition,2015-07-21,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,916580,,35475,-363630,2018
MACOMPTA.FR,Édition,2007-09-03,SA à conseil d'administration (s.a.i.),LAGORD,Entre 20 et 49 salariés,2022,1505297,macompta.fr,3161817,701288,2024
SMARTSIDE,Édition,2011-02-01,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,190080,smart-side.com,,262098,2023
SAITEC,Édition,1993-01-01,"SARL, société à responsabilité limitée",CHAUFFAILLES,Entre 20 et 49 salariés,2022,108000,saitec-net.com,,1114190,2025
NEPTING,Édition,2012-09-01,"SAS, société par actions simplifiée",SAINT-AUNES,Entre 20 et 49 salariés,2023,1000000,nepting.com,,9405876,2024
INFOLOGIS,Édition,1997-02-19,"SCOP, SARL coopérative ouvrière de production",CHATEAUROUX,Entre 10 et 19 salariés,2022,,"infologis.fr, logisupport.fr, briennadom.fr",,140713,2024
IDSOFT,Édition,2003-11-01,"SASU, société par actions simplifiée unipersonnelle",MERIGNAC,Entre 20 et 49 salariés,2022,30000,"idsoft.com, idsoftware.fr",2674168,259645,2024
C G S I,Édition,1988-11-07,"SAS, société par actions simplifiée",AIX-EN-PROVENCE,Entre 20 et 49 salariés,2022,128000,"ixbat.com, cgsi.fr, ixbat.fr",,124207,2024
CLEARBUS,Édition,2008-12-01,"SASU, société par actions simplifiée unipersonnelle",GRENOBLE,Entre 10 et 19 salariés,2022,434487.2,clearbus.fr,,1431969,2024
ALPHA LINK,Édition,2016-11-20,"SAS, société par actions simplifiée",SAINT-MARTIN-D'HERES,Entre 10 et 19 salariés,2023,120891.43,,,,
DIGISCHOOL GROUP,Édition,2004-02-10,"SAS, société par actions simplifiée",LYON,Entre 20 et 49 salariés,2023,3559752,"devoirs.fr, super-bac.com, digischool.fr",,2032483,2020
COSIKA,Édition,2016-01-04,"SAS, société par actions simplifiée",LES HERBIERS,Entre 20 et 49 salariés,2022,114211,cosika.fr,1490081,231221,2024
GLEAMER,Édition,2017-12-11,"SAS, société par actions simplifiée",SAINT-MANDE,Entre 20 et 49 salariés,2022,309569,gleamer.ai,,-2962846,2023
EURO FINANCE SYSTEMS,Édition,1991-11-01,SA à conseil d'administration (s.a.i.),NOGENT-SUR-MARNE,Entre 10 et 19 salariés,2023,150000,"euro-finance-systems.fr, euro-finance-systems.com",517777,25703,2024
M2AD,Édition,2012-06-01,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,2422.72,studyquizz.fr,,,
INTEMPORA,Édition,2000-10-01,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2023,44119,intempora.com,2472199,-605405,2023
GLOBAL DYNAMICS,Édition,2011-01-03,"SARL, société à responsabilité limitée",PERPIGNAN,Entre 20 et 49 salariés,2022,4000,,,-35403,2025
SAIGA INFORMATIQUE,Édition,1991-04-13,"SASU, société par actions simplifiée unipersonnelle",CLERMONT-FERRAND,Entre 10 et 19 salariés,2022,50000,,,278684,2023
AIMIGO,Édition,2004-02-01,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,86225,"aimigo.coach, gymglish.com",,,
